Sample_size,beta,gamma,beta_bias,beta_esd,beta_ase,beta_cp,gamma_bias,gamma_esd,gamma_ase,gamma_cp
50,,,,,,,,,,
,0,0,0.0109,0.2757,0.2703,0.9300,0.0023,0.2647,0.2725,0.9400
,0,0,-0.0251,0.2448,0.2742,0.9700,-0.0257,0.2827,0.2706,0.9300
