Sample_size,beta,gamma,beta_bias,beta_esd,beta_ase,beta_cp,gamma_bias,gamma_esd,gamma_ase,gamma_cp
,0.5,0,-0.0249,0.1983,0.2088,0.9000,-0.0602,0.2125,0.2003,1.0000
,,,,,,,,,,
,,0.5,-0.0710,0.2301,0.2366,0.9000,0.0209,0.1163,0.1769,1.0000
,,0.5,0.0701,0.1906,0.2290,1.0000,0.0421,0.1169,0.1860,1.0000
,,0.5,0.0371,0.2492,0.2299,1.0000,-0.0668,0.1510,0.1808,1.0000
,,0.5,0.0447,0.2086,0.2268,1.0000,-0.0690,0.1244,0.1806,1.0000
,,0.5,-0.0269,0.2612,0.2228,0.9000,0.0303,0.2366,0.1745,0.9000
,,,,,,,,,,
,,1,-0.0025,0.2103,0.2623,1.0000,0.0331,0.2170,0.1621,0.9000
,,1,0.0766,0.2118,0.2555,1.0000,0.0124,0.1320,0.1566,1.0000
,,1,-0.0042,0.3262,0.2576,0.9000,-0.0582,0.1649,0.1550,1.0000
,,1,-0.1692,0.2305,0.2549,1.0000,-0.0263,0.1497,0.1489,1.0000
,,1,0.0734,0.1189,0.2503,1.0000,-0.0016,0.1053,0.1562,1.0000
,,,,,,,,,,
,1,0,-0.1284,0.1713,0.2297,1.0000,-0.1211,0.1897,0.2135,1.0000
,1,0,0.0022,0.2218,0.2292,1.0000,0.0542,0.3127,0.2295,0.8000
,1,0,0.0863,0.2487,0.2312,1.0000,0.1498,0.2508,0.2300,1.0000
,1,0,0.0279,0.2997,0.2228,0.9000,0.0547,0.1332,0.2330,1.0000
,1,0,0.0280,0.2401,0.2305,1.0000,0.0660,0.1952,0.2215,1.0000
,,,,,,,,,,
,,0.5,0.0002,0.2585,0.2464,0.9000,-0.1108,0.1664,0.1920,1.0000
,,0.5,0.0031,0.2348,0.2464,1.0000,-0.0821,0.1543,0.1849,1.0000
,,0.5,0.0077,0.1727,0.2448,1.0000,-0.0541,0.1852,0.1914,1.0000
,,0.5,-0.1231,0.1908,0.2497,1.0000,0.0177,0.1449,0.1827,1.0000
,,0.5,-0.1094,0.2489,0.2543,1.0000,-0.0347,0.1882,0.1855,1.0000
,,,,,,,,,,
,,1,0.0483,0.2322,0.2716,1.0000,-0.0520,0.2150,0.1693,0.9000
,,1,0.0461,0.2440,0.2665,1.0000,0.0095,0.1414,0.1646,1.0000
,,1,0.0861,0.2863,0.2678,0.9000,-0.0620,0.1599,0.1643,1.0000
,,1,0.0317,0.2244,0.2700,1.0000,0.0428,0.1600,0.1654,1.0000
,,1,0.0260,0.2358,0.2706,0.9000,-0.0221,0.1308,0.1599,1.0000
,,,,,,,,,,
